arch/ia64/sn/include/pci/pcibus_provider_defs.h,include/asm-ia64/sn/pcibus_provider_defs.h,arch/ia64/include/asm/sn/pcibus_provider_defs.h
arch/ia64/sn/include/pci/pcidev.h,include/asm-ia64/sn/pcidev.h,arch/ia64/include/asm/sn/pcidev.h
arch/um/kernel/sys_call_table.c,arch/um/sys-x86_64/sys_call_table.c
arch/x86_64/pci/mmconfig.c,arch/x86_64/pci/mmconfig_64.c,arch/x86/pci/mmconfig_64.c
arch/x86_64/boot/compressed/misc.c,arch/x86_64/boot/compressed/misc_64.c,arch/x86/boot/compressed/misc_64.c
arch/x86_64/boot/compressed/vmlinux.lds,arch/x86_64/boot/compressed/vmlinux_64.lds,arch/x86/boot/compressed/vmlinux_64.lds,arch/x86/boot/compressed/vmlinux.lds.S
arch/x86_64/boot/compressed/vmlinux.scr,arch/x86_64/boot/compressed/vmlinux_64.scr,arch/x86/boot/compressed/vmlinux_64.scr
arch/x86_64/boot/compressed/head.S,arch/x86_64/boot/compressed/head_64.S,arch/x86/boot/compressed/head_64.S
arch/x86_64/mm/srat.c,arch/x86_64/mm/srat_64.c,arch/x86/mm/srat_64.c,arch/x86/mm/srat.c
arch/x86_64/mm/ioremap.c,arch/x86_64/mm/ioremap_64.c,arch/x86/mm/ioremap_64.c
arch/x86_64/mm/init.c,arch/x86_64/mm/init_64.c,arch/x86/mm/init_64.c
arch/x86_64/mm/mmap.c,arch/x86_64/mm/mmap_64.c,arch/x86/mm/mmap_64.c,arch/x86/mm/mmap.c
arch/x86_64/mm/numa.c,arch/x86_64/mm/numa_64.c,arch/x86/mm/numa_64.c
arch/x86_64/mm/extable.c,arch/x86_64/mm/extable_64.c,arch/x86/mm/extable_64.c
arch/x86_64/mm/k8topology.c,arch/x86_64/mm/k8topology_64.c,arch/x86/mm/k8topology_64.c,arch/x86/mm/amdtopology_64.c,arch/x86/mm/amdtopology.c
arch/x86_64/mm/pageattr.c,arch/x86_64/mm/pageattr_64.c,arch/x86/mm/pageattr_64.c
arch/x86_64/mm/fault.c,arch/x86_64/mm/fault_64.c,arch/x86/mm/fault_64.c,arch/x86/mm/fault.c
arch/i386/crypto/Makefile,arch/x86/crypto/Makefile
arch/i386/crypto/Makefile_32,arch/x86/crypto/Makefile_32
arch/i386/kernel/acpi/Makefile,arch/x86/kernel/acpi/Makefile
arch/i386/kernel/acpi/Makefile_32,arch/x86/kernel/acpi/Makefile_32
arch/i386/kernel/acpi/boot.c,arch/x86/kernel/acpi/boot.c
arch/i386/kernel/acpi/cstate.c,arch/x86/kernel/acpi/cstate.c
arch/i386/kernel/acpi/processor.c,arch/x86/kernel/acpi/processor.c
arch/i386/kernel/cpu/mcheck/Makefile,arch/x86/kernel/cpu/mcheck/Makefile
arch/i386/kernel/cpu/mcheck/k7.c,arch/x86/kernel/cpu/mcheck/k7.c
arch/i386/kernel/cpu/mcheck/mce.c,arch/x86/kernel/cpu/mcheck/mce.c,arch/x86/kernel/cpu/mcheck/mce_32.c
arch/i386/kernel/cpu/mcheck/mce.h,arch/x86/kernel/cpu/mcheck/mce.h
arch/i386/kernel/cpu/mcheck/non-fatal.c,arch/x86/kernel/cpu/mcheck/non-fatal.c
arch/i386/kernel/cpu/mcheck/p4.c,arch/x86/kernel/cpu/mcheck/p4.c
arch/i386/kernel/cpu/mcheck/p5.c,arch/x86/kernel/cpu/mcheck/p5.c
arch/i386/kernel/cpu/mcheck/p6.c,arch/x86/kernel/cpu/mcheck/p6.c
arch/i386/kernel/cpu/mcheck/therm_throt.c,arch/x86/kernel/cpu/mcheck/therm_throt.c
arch/i386/kernel/cpu/mcheck/winchip.c,arch/x86/kernel/cpu/mcheck/winchip.c
arch/i386/kernel/cpu/cpufreq/Kconfig,arch/x86/kernel/cpu/cpufreq/Kconfig,arch/x86/kernel/cpu/cpufreq/Kconfig_32,arch/x86/kernel/cpu/cpufreq/Kconfig,drivers/cpufreq/Kconfig.x86
arch/i386/kernel/cpu/cpufreq/Makefile,arch/x86/kernel/cpu/cpufreq/Makefile
arch/i386/kernel/cpu/cpufreq/acpi-cpufreq.c,arch/x86/kernel/cpu/cpufreq/acpi-cpufreq.c,drivers/cpufreq/acpi-cpufreq.c
arch/i386/kernel/cpu/cpufreq/cpufreq-nforce2.c,arch/x86/kernel/cpu/cpufreq/cpufreq-nforce2.c,drivers/cpufreq/cpufreq-nforce2.c
arch/i386/kernel/cpu/cpufreq/e_powersaver.c,arch/x86/kernel/cpu/cpufreq/e_powersaver.c,drivers/cpufreq/e_powersaver.c
arch/i386/kernel/cpu/cpufreq/elanfreq.c,arch/x86/kernel/cpu/cpufreq/elanfreq.c,drivers/cpufreq/elanfreq.c
arch/i386/kernel/cpu/cpufreq/gx-suspmod.c,arch/x86/kernel/cpu/cpufreq/gx-suspmod.c,drivers/cpufreq/gx-suspmod.c
arch/i386/kernel/cpu/cpufreq/longhaul.c,arch/x86/kernel/cpu/cpufreq/longhaul.c,drivers/cpufreq/longhaul.c
arch/i386/kernel/cpu/cpufreq/longhaul.h,arch/x86/kernel/cpu/cpufreq/longhaul.h,drivers/cpufreq/longhaul.h
arch/i386/kernel/cpu/cpufreq/longrun.c,arch/x86/kernel/cpu/cpufreq/longrun.c,drivers/cpufreq/longrun.c
arch/i386/kernel/cpu/cpufreq/p4-clockmod.c,arch/x86/kernel/cpu/cpufreq/p4-clockmod.c,drivers/cpufreq/p4-clockmod.c
arch/i386/kernel/cpu/cpufreq/powernow-k6.c,arch/x86/kernel/cpu/cpufreq/powernow-k6.c,drivers/cpufreq/powernow-k6.c
arch/i386/kernel/cpu/cpufreq/powernow-k7.c,arch/x86/kernel/cpu/cpufreq/powernow-k7.c,drivers/cpufreq/powernow-k7.c
arch/i386/kernel/cpu/cpufreq/powernow-k7.h,arch/x86/kernel/cpu/cpufreq/powernow-k7.h,drivers/cpufreq/powernow-k7.h
arch/i386/kernel/cpu/cpufreq/powernow-k8.c,arch/x86/kernel/cpu/cpufreq/powernow-k8.c,drivers/cpufreq/powernow-k8.c
arch/i386/kernel/cpu/cpufreq/powernow-k8.h,arch/x86/kernel/cpu/cpufreq/powernow-k8.h,drivers/cpufreq/powernow-k8.h
arch/i386/kernel/cpu/cpufreq/sc520_freq.c,arch/x86/kernel/cpu/cpufreq/sc520_freq.c,drivers/cpufreq/sc520_freq.c
arch/i386/kernel/cpu/cpufreq/speedstep-centrino.c,arch/x86/kernel/cpu/cpufreq/speedstep-centrino.c,drivers/cpufreq/speedstep-centrino.c
arch/i386/kernel/cpu/cpufreq/speedstep-ich.c,arch/x86/kernel/cpu/cpufreq/speedstep-ich.c,drivers/cpufreq/speedstep-ich.c
arch/i386/kernel/cpu/cpufreq/speedstep-lib.c,arch/x86/kernel/cpu/cpufreq/speedstep-lib.c,drivers/cpufreq/speedstep-lib.c
arch/i386/kernel/cpu/cpufreq/speedstep-lib.h,arch/x86/kernel/cpu/cpufreq/speedstep-lib.h,drivers/cpufreq/speedstep-lib.h
arch/i386/kernel/cpu/cpufreq/speedstep-smi.c,arch/x86/kernel/cpu/cpufreq/speedstep-smi.c,drivers/cpufreq/speedstep-smi.c
arch/i386/kernel/cpu/mtrr/Makefile,arch/x86/kernel/cpu/mtrr/Makefile
arch/i386/kernel/cpu/mtrr/amd.c,arch/x86/kernel/cpu/mtrr/amd.c
arch/i386/kernel/cpu/mtrr/centaur.c,arch/x86/kernel/cpu/mtrr/centaur.c
arch/i386/kernel/cpu/mtrr/cyrix.c,arch/x86/kernel/cpu/mtrr/cyrix.c
arch/i386/kernel/cpu/mtrr/generic.c,arch/x86/kernel/cpu/mtrr/generic.c
arch/i386/kernel/cpu/mtrr/if.c,arch/x86/kernel/cpu/mtrr/if.c
arch/i386/kernel/cpu/mtrr/main.c,arch/x86/kernel/cpu/mtrr/main.c
arch/i386/kernel/cpu/mtrr/mtrr.h,arch/x86/kernel/cpu/mtrr/mtrr.h
arch/i386/kernel/cpu/mtrr/state.c,arch/x86/kernel/cpu/mtrr/state.c
arch/i386/math-emu/Makefile,arch/x86/math-emu/Makefile
arch/i386/math-emu/README,arch/x86/math-emu/README
arch/i386/math-emu/control_w.h,arch/x86/math-emu/control_w.h
arch/i386/math-emu/div_Xsig.S,arch/x86/math-emu/div_Xsig.S
arch/i386/math-emu/div_small.S,arch/x86/math-emu/div_small.S
arch/i386/math-emu/errors.c,arch/x86/math-emu/errors.c
arch/i386/math-emu/exception.h,arch/x86/math-emu/exception.h
arch/i386/math-emu/fpu_arith.c,arch/x86/math-emu/fpu_arith.c
arch/i386/math-emu/fpu_asm.h,arch/x86/math-emu/fpu_asm.h
arch/i386/math-emu/fpu_aux.c,arch/x86/math-emu/fpu_aux.c
arch/i386/math-emu/fpu_emu.h,arch/x86/math-emu/fpu_emu.h
arch/i386/math-emu/fpu_entry.c,arch/x86/math-emu/fpu_entry.c
arch/i386/math-emu/fpu_etc.c,arch/x86/math-emu/fpu_etc.c
arch/i386/math-emu/fpu_proto.h,arch/x86/math-emu/fpu_proto.h
arch/i386/math-emu/fpu_system.h,arch/x86/math-emu/fpu_system.h
arch/i386/math-emu/fpu_tags.c,arch/x86/math-emu/fpu_tags.c
arch/i386/math-emu/fpu_trig.c,arch/x86/math-emu/fpu_trig.c
arch/i386/math-emu/get_address.c,arch/x86/math-emu/get_address.c
arch/i386/math-emu/load_store.c,arch/x86/math-emu/load_store.c
arch/i386/math-emu/mul_Xsig.S,arch/x86/math-emu/mul_Xsig.S
arch/i386/math-emu/poly.h,arch/x86/math-emu/poly.h
arch/i386/math-emu/poly_2xm1.c,arch/x86/math-emu/poly_2xm1.c
arch/i386/math-emu/poly_atan.c,arch/x86/math-emu/poly_atan.c
arch/i386/math-emu/poly_l2.c,arch/x86/math-emu/poly_l2.c
arch/i386/math-emu/poly_sin.c,arch/x86/math-emu/poly_sin.c
arch/i386/math-emu/poly_tan.c,arch/x86/math-emu/poly_tan.c
arch/i386/math-emu/polynom_Xsig.S,arch/x86/math-emu/polynom_Xsig.S
arch/i386/math-emu/reg_add_sub.c,arch/x86/math-emu/reg_add_sub.c
arch/i386/math-emu/reg_compare.c,arch/x86/math-emu/reg_compare.c
arch/i386/math-emu/reg_constant.c,arch/x86/math-emu/reg_constant.c
arch/i386/math-emu/reg_constant.h,arch/x86/math-emu/reg_constant.h
arch/i386/math-emu/reg_convert.c,arch/x86/math-emu/reg_convert.c
arch/i386/math-emu/reg_divide.c,arch/x86/math-emu/reg_divide.c
arch/i386/math-emu/reg_ld_str.c,arch/x86/math-emu/reg_ld_str.c
arch/i386/math-emu/reg_mul.c,arch/x86/math-emu/reg_mul.c
arch/i386/math-emu/reg_norm.S,arch/x86/math-emu/reg_norm.S
arch/i386/math-emu/reg_round.S,arch/x86/math-emu/reg_round.S
arch/i386/math-emu/reg_u_add.S,arch/x86/math-emu/reg_u_add.S
arch/i386/math-emu/reg_u_div.S,arch/x86/math-emu/reg_u_div.S
arch/i386/math-emu/reg_u_mul.S,arch/x86/math-emu/reg_u_mul.S
arch/i386/math-emu/reg_u_sub.S,arch/x86/math-emu/reg_u_sub.S
arch/i386/math-emu/round_Xsig.S,arch/x86/math-emu/round_Xsig.S
arch/i386/math-emu/shr_Xsig.S,arch/x86/math-emu/shr_Xsig.S
arch/i386/math-emu/status_w.h,arch/x86/math-emu/status_w.h
arch/i386/math-emu/version.h,arch/x86/math-emu/version.h
arch/i386/math-emu/wm_shrx.S,arch/x86/math-emu/wm_shrx.S
arch/i386/math-emu/wm_sqrt.S,arch/x86/math-emu/wm_sqrt.S
arch/i386/lib/Makefile,arch/x86/lib/Makefile
arch/i386/lib/Makefile_32,arch/x86/lib/Makefile_32
arch/i386/lib/msr-on-cpu.c,arch/x86/lib/msr-on-cpu.c,arch/x86/lib/msr.c
arch/i386/power/Makefile,arch/x86/power/Makefile
arch/i386/power/cpu.c,arch/x86/power/cpu.c,arch/x86/power/cpu_32.c
arch/i386/power/suspend.c,arch/x86/power/suspend.c,arch/x86/power/hibernate_32.c
arch/i386/power/swsusp.S,arch/x86/power/swsusp.S,arch/x86/power/hibernate_asm_32.S
arch/i386/pci/Makefile,arch/x86/pci/Makefile
arch/i386/pci/Makefile_32,arch/x86/pci/Makefile_32
arch/i386/pci/acpi.c,arch/x86/pci/acpi.c
arch/i386/pci/common.c,arch/x86/pci/common.c
arch/i386/pci/direct.c,arch/x86/pci/direct.c
arch/i386/pci/early.c,arch/x86/pci/early.c
arch/i386/pci/fixup.c,arch/x86/pci/fixup.c
arch/i386/pci/i386.c,arch/x86/pci/i386.c
arch/i386/pci/init.c,arch/x86/pci/init.c
arch/i386/pci/irq.c,arch/x86/pci/irq.c
arch/i386/pci/legacy.c,arch/x86/pci/legacy.c
arch/i386/pci/mmconfig-shared.c,arch/x86/pci/mmconfig-shared.c
arch/i386/pci/numa.c,arch/x86/pci/numa.c,arch/x86/pci/numaq_32.c
arch/i386/pci/pcbios.c,arch/x86/pci/pcbios.c
arch/i386/pci/pci.h,arch/x86/pci/pci.h,arch/x86/include/asm/pci_x86.h
arch/i386/pci/visws.c,arch/x86/pci/visws.c
arch/i386/mach-visws/Makefile,arch/x86/mach-visws/Makefile
arch/i386/mach-visws/mpparse.c,arch/x86/mach-visws/mpparse.c
arch/i386/mach-visws/reboot.c,arch/x86/mach-visws/reboot.c
arch/i386/mach-visws/setup.c,arch/x86/mach-visws/setup.c
arch/i386/mach-visws/traps.c,arch/x86/mach-visws/traps.c
arch/i386/mach-visws/visws_apic.c,arch/x86/mach-visws/visws_apic.c
arch/i386/mach-generic/Makefile,arch/x86/mach-generic/Makefile
arch/i386/mach-generic/bigsmp.c,arch/x86/mach-generic/bigsmp.c,arch/x86/kernel/bigsmp_32.c,arch/x86/kernel/apic/bigsmp_32.c
arch/i386/mach-generic/default.c,arch/x86/mach-generic/default.c
arch/i386/mach-generic/es7000.c,arch/x86/mach-generic/es7000.c
arch/i386/mach-generic/probe.c,arch/x86/mach-generic/probe.c,arch/x86/kernel/probe_32.c,arch/x86/kernel/apic/probe_32.c
arch/i386/mach-generic/summit.c,arch/x86/mach-generic/summit.c
arch/i386/boot/tools/.gitignore,arch/x86/boot/tools/.gitignore
arch/i386/boot/tools/build.c,arch/x86/boot/tools/build.c
arch/i386/boot/compressed/.gitignore,arch/x86/boot/compressed/.gitignore
arch/i386/boot/compressed/Makefile,arch/x86/boot/compressed/Makefile
arch/i386/boot/compressed/Makefile_32,arch/x86/boot/compressed/Makefile_32
arch/i386/boot/compressed/relocs.c,arch/x86/boot/compressed/relocs.c,scripts/x86-relocs.c,arch/x86/tools/relocs.c
arch/i386/boot/.gitignore,arch/x86/boot/.gitignore
arch/i386/boot/Makefile,arch/x86/boot/Makefile
arch/i386/boot/a20.c,arch/x86/boot/a20.c
arch/i386/boot/apm.c,arch/x86/boot/apm.c
arch/i386/boot/bitops.h,arch/x86/boot/bitops.h
arch/i386/boot/boot.h,arch/x86/boot/boot.h
arch/i386/boot/cmdline.c,arch/x86/boot/cmdline.c
arch/i386/boot/code16gcc.h,arch/x86/boot/code16gcc.h
arch/i386/boot/copy.S,arch/x86/boot/copy.S
arch/i386/boot/cpu.c,arch/x86/boot/cpu.c
arch/i386/boot/cpucheck.c,arch/x86/boot/cpucheck.c
arch/i386/boot/edd.c,arch/x86/boot/edd.c
arch/i386/boot/header.S,arch/x86/boot/header.S
arch/i386/boot/install.sh,arch/x86/boot/install.sh
arch/i386/boot/main.c,arch/x86/boot/main.c
arch/i386/boot/mca.c,arch/x86/boot/mca.c
arch/i386/boot/memory.c,arch/x86/boot/memory.c
arch/i386/boot/mtools.conf.in,arch/x86/boot/mtools.conf.in
arch/i386/boot/pm.c,arch/x86/boot/pm.c
arch/i386/boot/pmjump.S,arch/x86/boot/pmjump.S
arch/i386/boot/printf.c,arch/x86/boot/printf.c
arch/i386/boot/setup.ld,arch/x86/boot/setup.ld
arch/i386/boot/string.c,arch/x86/boot/string.c
arch/i386/boot/tty.c,arch/x86/boot/tty.c
arch/i386/boot/version.c,arch/x86/boot/version.c
arch/i386/boot/vesa.h,arch/x86/boot/vesa.h
arch/i386/boot/video-bios.c,arch/x86/boot/video-bios.c
arch/i386/boot/video-vesa.c,arch/x86/boot/video-vesa.c
arch/i386/boot/video-vga.c,arch/x86/boot/video-vga.c
arch/i386/boot/video.c,arch/x86/boot/video.c
arch/i386/boot/video.h,arch/x86/boot/video.h
arch/i386/boot/voyager.c,arch/x86/boot/voyager.c
arch/i386/mm/Makefile,arch/x86/mm/Makefile
arch/i386/mm/Makefile_32,arch/x86/mm/Makefile_32
arch/i386/mm/hugetlbpage.c,arch/x86/mm/hugetlbpage.c
arch/i386/mach-default/Makefile,arch/x86/mach-default/Makefile
arch/i386/mach-default/setup.c,arch/x86/mach-default/setup.c
arch/i386/mach-es7000/Makefile,arch/x86/mach-es7000/Makefile,arch/x86/es7000/Makefile
arch/i386/mach-es7000/es7000.h,arch/x86/mach-es7000/es7000.h,arch/x86/es7000/es7000.h
arch/i386/mach-es7000/es7000plat.c,arch/x86/mach-es7000/es7000plat.c,arch/x86/es7000/es7000plat.c,arch/x86/kernel/es7000_32.c,arch/x86/kernel/apic/es7000_32.c
arch/i386/xen/Kconfig,arch/x86/xen/Kconfig
arch/i386/xen/Makefile,arch/x86/xen/Makefile
arch/i386/xen/enlighten.c,arch/x86/xen/enlighten.c
arch/i386/xen/events.c,arch/x86/xen/events.c,drivers/xen/events.c
arch/i386/xen/features.c,arch/x86/xen/features.c,drivers/xen/features.c
arch/i386/xen/manage.c,arch/x86/xen/manage.c,drivers/xen/manage.c
arch/i386/xen/mmu.c,arch/x86/xen/mmu.c
arch/i386/xen/mmu.h,arch/x86/xen/mmu.h
arch/i386/xen/multicalls.c,arch/x86/xen/multicalls.c
arch/i386/xen/multicalls.h,arch/x86/xen/multicalls.h
arch/i386/xen/setup.c,arch/x86/xen/setup.c
arch/i386/xen/smp.c,arch/x86/xen/smp.c
arch/i386/xen/time.c,arch/x86/xen/time.c
arch/i386/xen/vdso.h,arch/x86/xen/vdso.h
arch/i386/xen/xen-asm.S,arch/x86/xen/xen-asm.S,arch/x86/xen/xen-asm_32.S
arch/i386/xen/xen-head.S,arch/x86/xen/xen-head.S
arch/i386/xen/xen-ops.h,arch/x86/xen/xen-ops.h
arch/i386/mach-voyager/Makefile,arch/x86/mach-voyager/Makefile
arch/i386/mach-voyager/setup.c,arch/x86/mach-voyager/setup.c
arch/i386/mach-voyager/voyager_basic.c,arch/x86/mach-voyager/voyager_basic.c
arch/i386/mach-voyager/voyager_cat.c,arch/x86/mach-voyager/voyager_cat.c
arch/i386/mach-voyager/voyager_smp.c,arch/x86/mach-voyager/voyager_smp.c
arch/i386/mach-voyager/voyager_thread.c,arch/x86/mach-voyager/voyager_thread.c
arch/i386/oprofile/Kconfig,arch/x86/oprofile/Kconfig
arch/i386/oprofile/Makefile,arch/x86/oprofile/Makefile
arch/i386/oprofile/backtrace.c,arch/x86/oprofile/backtrace.c
arch/i386/oprofile/init.c,arch/x86/oprofile/init.c
arch/i386/oprofile/nmi_int.c,arch/x86/oprofile/nmi_int.c
arch/i386/oprofile/nmi_timer_int.c,arch/x86/oprofile/nmi_timer_int.c
arch/i386/oprofile/op_counter.h,arch/x86/oprofile/op_counter.h
arch/i386/oprofile/op_model_athlon.c,arch/x86/oprofile/op_model_athlon.c,arch/x86/oprofile/op_model_amd.c
arch/i386/oprofile/op_model_p4.c,arch/x86/oprofile/op_model_p4.c
arch/i386/oprofile/op_model_ppro.c,arch/x86/oprofile/op_model_ppro.c
arch/i386/oprofile/op_x86_model.h,arch/x86/oprofile/op_x86_model.h
arch/i386/video/Makefile,arch/x86/video/Makefile
arch/i386/video/fbdev.c,arch/x86/video/fbdev.c
arch/i386/kernel/cpu/Makefile,arch/x86/kernel/cpu/Makefile
arch/i386/kernel/cpu/addon_cpuid_features.c,arch/x86/kernel/cpu/addon_cpuid_features.c,arch/x86/kernel/cpu/topology.c
arch/i386/kernel/cpu/amd.c,arch/x86/kernel/cpu/amd.c
arch/i386/kernel/cpu/bugs.c,arch/x86/kernel/cpu/bugs.c
arch/i386/kernel/cpu/centaur.c,arch/x86/kernel/cpu/centaur.c
arch/i386/kernel/cpu/common.c,arch/x86/kernel/cpu/common.c
arch/i386/kernel/cpu/cpu.h,arch/x86/kernel/cpu/cpu.h
arch/i386/kernel/cpu/cyrix.c,arch/x86/kernel/cpu/cyrix.c
arch/i386/kernel/cpu/intel.c,arch/x86/kernel/cpu/intel.c
arch/i386/kernel/cpu/intel_cacheinfo.c,arch/x86/kernel/cpu/intel_cacheinfo.c
arch/i386/kernel/cpu/nexgen.c,arch/x86/kernel/cpu/nexgen.c
arch/i386/kernel/cpu/perfctr-watchdog.c,arch/x86/kernel/cpu/perfctr-watchdog.c
arch/i386/kernel/cpu/proc.c,arch/x86/kernel/cpu/proc.c
arch/i386/kernel/cpu/transmeta.c,arch/x86/kernel/cpu/transmeta.c
arch/i386/kernel/cpu/umc.c,arch/x86/kernel/cpu/umc.c
arch/i386/kernel/.gitignore,arch/x86/kernel/.gitignore
arch/i386/kernel/Makefile,arch/x86/kernel/Makefile
arch/i386/kernel/Makefile_32,arch/x86/kernel/Makefile_32
arch/i386/kernel/alternative.c,arch/x86/kernel/alternative.c
arch/i386/kernel/asm-offsets.c,arch/x86/kernel/asm-offsets.c
arch/i386/kernel/asm-offsets_32.c,arch/x86/kernel/asm-offsets_32.c
arch/i386/kernel/bootflag.c,arch/x86/kernel/bootflag.c
arch/i386/kernel/cpuid.c,arch/x86/kernel/cpuid.c
arch/i386/kernel/early_printk.c,arch/x86/kernel/early_printk.c
arch/i386/kernel/i8237.c,arch/x86/kernel/i8237.c
arch/i386/kernel/microcode.c,arch/x86/kernel/microcode.c,arch/x86/kernel/microcode_intel.c
arch/i386/kernel/msr.c,arch/x86/kernel/msr.c
arch/i386/kernel/pcspeaker.c,arch/x86/kernel/pcspeaker.c
arch/i386/kernel/quirks.c,arch/x86/kernel/quirks.c
arch/i386/kernel/tsc_sync.c,arch/x86/kernel/tsc_sync.c
arch/i386/kernel/vmlinux.lds.S,arch/x86/kernel/vmlinux.lds.S
arch/i386/kernel/vmlinux_32.lds.S,arch/x86/kernel/vmlinux_32.lds.S
arch/x86_64/crypto/Makefile_64,arch/x86/crypto/Makefile_64
arch/x86_64/kernel/cpufreq/Kconfig,arch/x86/kernel/cpufreq/Kconfig,arch/x86/kernel/cpu/cpufreq/Kconfig_64
arch/x86_64/lib/Makefile_64,arch/x86/lib/Makefile_64
arch/x86_64/vdso/.gitignore,arch/x86/vdso/.gitignore
arch/x86_64/vdso/Makefile,arch/x86/vdso/Makefile
arch/x86_64/vdso/vclock_gettime.c,arch/x86/vdso/vclock_gettime.c
arch/x86_64/vdso/vdso-note.S,arch/x86/vdso/vdso-note.S
arch/x86_64/vdso/vdso-start.S,arch/x86/vdso/vdso-start.S
arch/x86_64/vdso/vdso.lds.S,arch/x86/vdso/vdso.lds.S
arch/x86_64/vdso/vextern.h,arch/x86/vdso/vextern.h
arch/x86_64/vdso/vgetcpu.c,arch/x86/vdso/vgetcpu.c
arch/x86_64/vdso/vma.c,arch/x86/vdso/vma.c
arch/x86_64/vdso/voffset.h,arch/x86/vdso/voffset.h
arch/x86_64/vdso/vvar.c,arch/x86/vdso/vvar.c
arch/x86_64/pci/Makefile_64,arch/x86/pci/Makefile_64
arch/x86_64/boot/compressed/Makefile_64,arch/x86/boot/compressed/Makefile_64
arch/x86_64/mm/Makefile_64,arch/x86/mm/Makefile_64
arch/x86_64/ia32/Makefile,arch/x86/ia32/Makefile
arch/x86_64/ia32/audit.c,arch/x86/ia32/audit.c
arch/x86_64/ia32/fpu32.c,arch/x86/ia32/fpu32.c
arch/x86_64/ia32/ia32_aout.c,arch/x86/ia32/ia32_aout.c
arch/x86_64/ia32/ia32_binfmt.c,arch/x86/ia32/ia32_binfmt.c
arch/x86_64/ia32/ia32_signal.c,arch/x86/ia32/ia32_signal.c
arch/x86_64/ia32/ia32entry.S,arch/x86/ia32/ia32entry.S
arch/x86_64/ia32/ipc32.c,arch/x86/ia32/ipc32.c
arch/x86_64/ia32/mmap32.c,arch/x86/ia32/mmap32.c
arch/x86_64/ia32/ptrace32.c,arch/x86/ia32/ptrace32.c
arch/x86_64/ia32/sys_ia32.c,arch/x86/ia32/sys_ia32.c
arch/x86_64/ia32/syscall32.c,arch/x86/ia32/syscall32.c
arch/x86_64/ia32/syscall32_syscall.S,arch/x86/ia32/syscall32_syscall.S
arch/x86_64/ia32/tls32.c,arch/x86/ia32/tls32.c,arch/x86/kernel/tls.c
arch/x86_64/ia32/vsyscall-sigreturn.S,arch/x86/ia32/vsyscall-sigreturn.S
arch/x86_64/ia32/vsyscall-syscall.S,arch/x86/ia32/vsyscall-syscall.S
arch/x86_64/ia32/vsyscall-sysenter.S,arch/x86/ia32/vsyscall-sysenter.S
arch/x86_64/ia32/vsyscall.lds,arch/x86/ia32/vsyscall.lds
arch/x86_64/kernel/Makefile_64,arch/x86/kernel/Makefile_64
arch/x86_64/kernel/asm-offsets_64.c,arch/x86/kernel/asm-offsets_64.c
arch/x86_64/kernel/head64.c,arch/x86/kernel/head64.c
arch/x86_64/kernel/k8.c,arch/x86/kernel/k8.c,arch/x86/kernel/amd_nb.c
arch/x86_64/kernel/setup64.c,arch/x86/kernel/setup64.c
arch/x86_64/kernel/stacktrace.c,arch/x86/kernel/stacktrace.c
arch/x86_64/kernel/sys_x86_64.c,arch/x86/kernel/sys_x86_64.c
arch/x86_64/kernel/vmlinux_64.lds.S,arch/x86/kernel/vmlinux_64.lds.S
include/asm-i386/8253pit.h,include/asm-x86/8253pit_32.h
include/asm-x86_64/8253pit.h,include/asm-x86/8253pit_64.h
include/asm-i386/a.out.h,include/asm-x86/a.out_32.h
include/asm-x86_64/a.out.h,include/asm-x86/a.out_64.h
include/asm-i386/acpi.h,include/asm-x86/acpi_32.h
include/asm-x86_64/acpi.h,include/asm-x86/acpi_64.h
include/asm-i386/agp.h,include/asm-x86/agp_32.h
include/asm-x86_64/agp.h,include/asm-x86/agp_64.h
include/asm-i386/alternative-asm.i,include/asm-x86/alternative-asm_32.i
include/asm-x86_64/alternative-asm.i,include/asm-x86/alternative-asm_64.i
include/asm-i386/alternative.h,include/asm-x86/alternative_32.h
include/asm-x86_64/alternative.h,include/asm-x86/alternative_64.h
include/asm-i386/apic.h,include/asm-x86/apic_32.h
include/asm-x86_64/apic.h,include/asm-x86/apic_64.h
include/asm-i386/apicdef.h,include/asm-x86/apicdef_32.h
include/asm-x86_64/apicdef.h,include/asm-x86/apicdef_64.h
include/asm-i386/arch_hooks.h,include/asm-x86/arch_hooks.h,arch/x86/include/asm/arch_hooks.h
include/asm-i386/atomic.h,include/asm-x86/atomic_32.h,arch/x86/include/asm/atomic_32.h
include/asm-x86_64/atomic.h,include/asm-x86/atomic_64.h,arch/x86/include/asm/atomic_64.h
include/asm-i386/auxvec.h,include/asm-x86/auxvec_32.h
include/asm-x86_64/auxvec.h,include/asm-x86/auxvec_64.h
include/asm-i386/bitops.h,include/asm-x86/bitops_32.h
include/asm-x86_64/bitops.h,include/asm-x86/bitops_64.h
include/asm-i386/boot.h,include/asm-x86/boot.h,arch/x86/include/asm/boot.h
include/asm-i386/bootparam.h,include/asm-x86/bootparam.h,arch/x86/include/asm/bootparam.h,arch/x86/include/uapi/asm/bootparam.h
include/asm-x86_64/bootsetup.h,include/asm-x86/bootsetup.h
include/asm-i386/bug.h,include/asm-x86/bug_32.h
include/asm-x86_64/bug.h,include/asm-x86/bug_64.h
include/asm-i386/bugs.h,include/asm-x86/bugs_32.h
include/asm-x86_64/bugs.h,include/asm-x86/bugs_64.h
