codemp/WinDed.vcxproj,codemp/dedicated.vcxproj,codemp/openjkded.vcxproj
codemp/game/JK2_game.vcxproj,codemp/game/game.vcxproj
codemp/zlib/zutil.c,lib/zlib/zutil.c
codemp/zlib/zutil.h,lib/zlib/zutil.h
codemp/renderer/mdx_format.h,codemp/rd-common/mdx_format.h
codemp/rd-vanilla/tr_font.h,codemp/rd-common/tr_font.h
codemp/renderer/tr_public.h,codemp/rd-common/tr_public.h
code/game/q_math.cpp,code/qcommon/q_math.cpp
code/game/q_shared.cpp,code/qcommon/q_shared.cpp
code/game/q_shared.h,code/qcommon/q_shared.h
codeJK2/game/AI.h,codeJK2/game/ai.h
codeJK2/ghoul2/g2.h,codeJK2/ghoul2/G2.h
codemp/rd-rend2/tr_animation.c,codemp/rd-rend2/tr_animation.cpp
codemp/rd-rend2/tr_backend.c,codemp/rd-rend2/tr_backend.cpp
codemp/rd-rend2/tr_bsp.c,codemp/rd-rend2/tr_bsp.cpp
codemp/rd-rend2/tr_cmds.c,codemp/rd-rend2/tr_cmds.cpp
codemp/rd-rend2/tr_curve.c,codemp/rd-rend2/tr_curve.cpp
codemp/rd-rend2/tr_extensions.c,codemp/rd-rend2/tr_extensions.cpp
codemp/rd-rend2/tr_extramath.c,codemp/rd-rend2/tr_extramath.cpp
codemp/rd-rend2/tr_fbo.c,codemp/rd-rend2/tr_fbo.cpp
codemp/rd-rend2/tr_flares.c,codemp/rd-rend2/tr_flares.cpp
codemp/rd-rend2/tr_glsl.c,codemp/rd-rend2/tr_glsl.cpp
codemp/rd-rend2/tr_image.c,codemp/rd-rend2/tr_image.cpp
codemp/rd-rend2/tr_init.c,codemp/rd-rend2/tr_init.cpp
codemp/rd-rend2/tr_light.c,codemp/rd-rend2/tr_light.cpp
codemp/rd-rend2/tr_main.c,codemp/rd-rend2/tr_main.cpp
codemp/rd-rend2/tr_marks.c,codemp/rd-rend2/tr_marks.cpp
codemp/rd-rend2/tr_mesh.c,codemp/rd-rend2/tr_mesh.cpp
codemp/rd-rend2/tr_model.c,codemp/rd-rend2/tr_model.cpp
codemp/rd-rend2/tr_model_iqm.c,codemp/rd-rend2/tr_model_iqm.cpp
codemp/rd-rend2/tr_postprocess.c,codemp/rd-rend2/tr_postprocess.cpp
codemp/rd-rend2/tr_scene.c,codemp/rd-rend2/tr_scene.cpp
codemp/rd-rend2/tr_shade.c,codemp/rd-rend2/tr_shade.cpp
codemp/rd-rend2/tr_shade_calc.c,codemp/rd-rend2/tr_shade_calc.cpp
codemp/rd-rend2/tr_shader.c,codemp/rd-rend2/tr_shader.cpp
codemp/rd-rend2/tr_shadows.c,codemp/rd-rend2/tr_shadows.cpp
codemp/rd-rend2/tr_sky.c,codemp/rd-rend2/tr_sky.cpp
codemp/rd-rend2/tr_subs.c,codemp/rd-rend2/tr_subs.cpp
codemp/rd-rend2/tr_surface.c,codemp/rd-rend2/tr_surface.cpp
codemp/rd-rend2/tr_vbo.c,codemp/rd-rend2/tr_vbo.cpp
codemp/rd-rend2/tr_world.c,codemp/rd-rend2/tr_world.cpp
codeJK2/qcommon/strippublic.h,code/qcommon/strippublic.h
code/renderer/mdx_format.h,code/rd-common/mdx_format.h
code/renderer/tr_public.h,code/rd-common/tr_public.h
code/renderer/tr_types.h,code/rd-common/tr_types.h
codemp/qcommon/files_pc.cpp,codemp/qcommon/files.cpp
codemp/win32/win_net.cpp,codemp/qcommon/net_ip.cpp
codemp/qcommon/cmd_common.cpp,codemp/qcommon/cmd.cpp
codemp/rd-vanilla/G2_local.h,codemp/ghoul2/g2_local.h
code/qcommon/unzip.cpp,lib/minizip/unzip.cpp,lib/minizip/unzip.c
code/qcommon/unzip.h,lib/minizip/unzip.h,lib/minizip/include/minizip/unzip.h
codemp/sdl/sdl_input.cpp,shared/sdl/sdl_input.cpp
codemp/sdl/sdl_qgl.h,shared/sdl/sdl_qgl.h
codemp/sdl/sdl_snd.cpp,shared/sdl/sdl_sound.cpp
codemp/sdl/sdl_glimp.cpp,shared/sdl/sdl_window.cpp
code/sys/sys_loadlib.h,shared/sys/sys_loadlib.h
codemp/sys/sys_local.h,shared/sys/sys_local.h
codemp/sys/sys_main.cpp,shared/sys/sys_main.cpp
codemp/sys/sys_unix.cpp,shared/sys/sys_unix.cpp
codemp/sys/sys_win32.cpp,shared/sys/sys_win32.cpp
code/qcommon/files_pc.cpp,code/qcommon/files.cpp
lib/SDL2/lib/x64/SDL2.dll,lib/SDL2/bin/x64/SDL2.dll
lib/SDL2/lib/x86/SDL2.dll,lib/SDL2/bin/x86/SDL2.dll
documentation/save games.md,documentation/developer/save games.md,docs/save games.md
lib/jpeg-8c/CMakeLists.txt,lib/jpeg-9a/CMakeLists.txt
shared/qcommon/safe/memory.h,code/qcommon/safe/memory.h
code/qcommon/q_platform.h,shared/qcommon/q_platform.h
codemp/rd-rend2/glsl/bokeh_fp.glsl,codemp/rd-rend2/glsl/bokeh.glsl
codemp/rd-rend2/glsl/calclevels4x_fp.glsl,codemp/rd-rend2/glsl/calclevels4x.glsl
codemp/rd-rend2/glsl/depthblur_fp.glsl,codemp/rd-rend2/glsl/depthblur.glsl
codemp/rd-rend2/glsl/dglow_downsample_fp.glsl,codemp/rd-rend2/glsl/dglow_downsample.glsl
codemp/rd-rend2/glsl/dglow_upsample_fp.glsl,codemp/rd-rend2/glsl/dglow_upsample.glsl
codemp/rd-rend2/glsl/dlight_vp.glsl,codemp/rd-rend2/glsl/dlight.glsl
codemp/rd-rend2/glsl/down4x_fp.glsl,codemp/rd-rend2/glsl/down4x.glsl
codemp/rd-rend2/glsl/fogpass_vp.glsl,codemp/rd-rend2/glsl/fogpass.glsl
codemp/rd-rend2/glsl/gaussian_blur_fp.glsl,codemp/rd-rend2/glsl/gaussian_blur.glsl
codemp/rd-rend2/glsl/generic_vp.glsl,codemp/rd-rend2/glsl/generic.glsl
codemp/rd-rend2/glsl/lightall_fp.glsl,codemp/rd-rend2/glsl/lightall.glsl
codemp/rd-rend2/glsl/pshadow_fp.glsl,codemp/rd-rend2/glsl/pshadow.glsl
codemp/rd-rend2/glsl/shadowfill_vp.glsl,codemp/rd-rend2/glsl/shadowfill.glsl
codemp/rd-rend2/glsl/shadowmask_fp.glsl,codemp/rd-rend2/glsl/shadowmask.glsl
codemp/rd-rend2/glsl/ssao_fp.glsl,codemp/rd-rend2/glsl/ssao.glsl
codemp/rd-rend2/glsl/surface_sprites_vp.glsl,codemp/rd-rend2/glsl/surface_sprites.glsl
codemp/rd-rend2/glsl/texturecolor_vp.glsl,codemp/rd-rend2/glsl/texturecolor.glsl
codemp/rd-rend2/glsl/tonemap_fp.glsl,codemp/rd-rend2/glsl/tonemap.glsl
github/ISSUE_TEMPLATE.md,.github/ISSUE_TEMPLATE.md
shared/qcommon/ojk_sg_archive.cpp,shared/qcommon/ojk_saved_game.cpp,shared/qcommon/ojk_saved_game_file.cpp,shared/qcommon/ojk_saved_game.cpp,code/qcommon/ojk_saved_game.cpp
shared/qcommon/ojk_sg_archive.h,shared/qcommon/ojk_saved_game.h,shared/qcommon/ojk_saved_game_file.h,shared/qcommon/ojk_saved_game.h,code/qcommon/ojk_saved_game.h
shared/qcommon/ojk_sg_archive_exception.cpp,shared/qcommon/ojk_saved_game_exception.cpp
shared/qcommon/ojk_sg_archive_fwd.h,shared/qcommon/ojk_saved_game_fwd.h,shared/qcommon/ojk_i_saved_game_fwd.h,shared/qcommon/ojk_saved_game_stream_helper_fwd.h,shared/qcommon/ojk_saved_game_file_helper_fwd.h,shared/qcommon/ojk_saved_game_helper_fwd.h,code/qcommon/ojk_saved_game_helper_fwd.h
shared/qcommon/ojk_i_saved_game.h,shared/qcommon/ojk_saved_game_stream_helper.h,shared/qcommon/ojk_saved_game_file_helper.h,shared/qcommon/ojk_saved_game_helper.h,code/qcommon/ojk_saved_game_helper.h
shared/qcommon/ojk_i_saved_game_file.h,shared/qcommon/ojk_i_saved_game.h,code/qcommon/ojk_i_saved_game.h
shared/qcommon/q_math_common.c,shared/qcommon/q_math.c
shared/qcommon/q_math_common.h,shared/qcommon/q_math.h
shared/qcommon/ojk_saved_game_class_archivers.h,code/qcommon/ojk_saved_game_class_archivers.h
shared/qcommon/ojk_scope_guard.h,code/qcommon/ojk_scope_guard.h
tools/builds/all.bat,scripts/builds/all.bat
tools/builds/build.bat,scripts/builds/build.bat
tools/builds/compress.bat,scripts/builds/compress.bat
tools/builds/deploy.bat,scripts/builds/deploy.bat,scripts/appveyor/deploy.bat
tools/builds/install.bat,scripts/builds/install.bat
tools/builds/make.bat,scripts/builds/make.bat
tools/travis-build.sh,scripts/travis-build.sh,scripts/travis/build.sh
tools/travis-install.sh,scripts/travis-install.sh,scripts/travis/install.sh
CMakeModules/GetGitRevisionDescription.cmake,cmake/Modules/GetGitRevisionDescription.cmake
CMakeModules/GetGitRevisionDescription.cmake.in,cmake/Modules/GetGitRevisionDescription.cmake.in
CMakeModules/InstallConfig.cmake,cmake/Modules/InstallConfig.cmake
CMakeModules/InstallZIP.cmake,cmake/Modules/InstallZIP.cmake
CMakeModules/LICENSE_1_0.txt,cmake/Modules/LICENSE_1_0.txt
CMakeModules/Toolchains/i686-w64-mingw32.cmake,cmake/Toolchains/i686-w64-mingw32.cmake
CMakeModules/Toolchains/linux-i686.cmake,cmake/Toolchains/linux-i686.cmake
CMakeModules/Toolchains/x86_64-w64-mingw32.cmake,cmake/Toolchains/x86_64-w64-mingw32.cmake
documentation/developer/language strings.md,docs/language strings.md
documentation/developer/libraries.md,docs/libraries.md
documentation/developer/renderer-architecture.md,docs/renderer-architecture.md
documentation/developer/sound-code-declutter.md,docs/sound-code-declutter.md
