include/asm-i386/ppcboot-i386.h,include/asm-i386/u-boot-i386.h,arch/i386/include/asm/u-boot-i386.h,arch/x86/include/asm/u-boot-x86.h
cpu/xscale/Makefile,cpu/pxa/Makefile,arch/arm/cpu/pxa/Makefile
cpu/xscale/config.mk,cpu/pxa/config.mk,arch/arm/cpu/pxa/config.mk
cpu/xscale/cpu.c,cpu/pxa/cpu.c,arch/arm/cpu/pxa/cpu.c,arch/arm/cpu/pxa/pxa2xx.c
cpu/xscale/i2c.c,cpu/pxa/i2c.c,arch/arm/cpu/pxa/i2c.c,drivers/i2c/mv_i2c.c
cpu/xscale/interrupts.c,cpu/pxa/interrupts.c,cpu/pxa/timer.c,arch/arm/cpu/pxa/timer.c
cpu/xscale/serial.c,cpu/pxa/serial.c,drivers/serial/serial_pxa.c
cpu/xscale/start.S,cpu/pxa/start.S,arch/arm/cpu/pxa/start.S
include/asm-arm/arch-xscale/bitfield.h,include/asm-arm/arch-pxa/bitfield.h,arch/arm/include/asm/arch-pxa/bitfield.h
include/asm-arm/arch-xscale/hardware.h,include/asm-arm/arch-pxa/hardware.h,arch/arm/include/asm/arch-pxa/hardware.h
lib_i386/ic/sc520.c,cpu/i386/sc520.c,cpu/i386/sc520/sc520.c,arch/i386/cpu/sc520/sc520.c,arch/x86/cpu/sc520/sc520.c
lib_i386/ic/sc520_asm.S,cpu/i386/sc520_asm.S,cpu/i386/sc520/sc520_asm.S,arch/i386/cpu/sc520/sc520_asm.S
lib_i386/ic/ali512x.c,drivers/ali512x.c,drivers/misc/ali512x.c
cpu/mpc8xx/status_led.c,drivers/status_led.c,drivers/misc/status_led.c
cpu/mips/serial.c,cpu/mips/asc_serial.c,arch/mips/cpu/asc_serial.c,arch/mips/cpu/mips32/asc_serial.c,arch/mips/cpu/mips32/incaip/asc_serial.c
cpu/mips/serial.h,cpu/mips/asc_serial.h,arch/mips/cpu/asc_serial.h,arch/mips/cpu/mips32/asc_serial.h,arch/mips/cpu/mips32/incaip/asc_serial.h
board/dk1c20/flash.c,board/altera/common/flash.c
include/asm-blackfin/net.h,arch/blackfin/include/asm/net.h
include/asm-blackfin/posix_types.h,arch/blackfin/include/asm/posix_types.h
include/asm-blackfin/processor.h,arch/blackfin/include/asm/processor.h
include/asm-blackfin/ptrace.h,arch/blackfin/include/asm/ptrace.h
include/asm-blackfin/sdh.h,arch/blackfin/include/asm/sdh.h
include/asm-blackfin/shared_resources.h,arch/blackfin/include/asm/shared_resources.h
include/asm-blackfin/signal.h,arch/blackfin/include/asm/signal.h
include/asm-blackfin/string.h,arch/blackfin/include/asm/string.h
include/asm-blackfin/system.h,arch/blackfin/include/asm/system.h
include/asm-blackfin/traps.h,arch/blackfin/include/asm/traps.h
include/asm-blackfin/types.h,arch/blackfin/include/asm/types.h
include/asm-blackfin/u-boot.h,arch/blackfin/include/asm/u-boot.h
include/asm-blackfin/unaligned.h,arch/blackfin/include/asm/unaligned.h
include/asm-i386/bitops.h,arch/i386/include/asm/bitops.h,arch/x86/include/asm/bitops.h
include/asm-i386/byteorder.h,arch/i386/include/asm/byteorder.h,arch/x86/include/asm/byteorder.h
include/asm-i386/config.h,arch/i386/include/asm/config.h,arch/x86/include/asm/config.h
include/asm-i386/errno.h,arch/i386/include/asm/errno.h,arch/x86/include/asm/errno.h
include/asm-i386/global_data.h,arch/i386/include/asm/global_data.h,arch/x86/include/asm/global_data.h
include/asm-i386/i8254.h,arch/i386/include/asm/i8254.h,arch/x86/include/asm/i8254.h
include/asm-i386/i8259.h,arch/i386/include/asm/i8259.h,arch/x86/include/asm/i8259.h
include/asm-i386/ibmpc.h,arch/i386/include/asm/ibmpc.h,arch/x86/include/asm/ibmpc.h
include/asm-i386/ic/pci.h,arch/i386/include/asm/ic/pci.h,arch/x86/include/asm/ic/pci.h,arch/x86/include/asm/arch-sc520/pci.h
include/asm-i386/ic/sc520.h,arch/i386/include/asm/ic/sc520.h,arch/x86/include/asm/ic/sc520.h,arch/x86/include/asm/arch-sc520/sc520.h
include/asm-i386/ic/ssi.h,arch/i386/include/asm/ic/ssi.h,arch/x86/include/asm/ic/ssi.h,arch/x86/include/asm/arch-sc520/ssi.h
include/asm-i386/interrupt.h,arch/i386/include/asm/interrupt.h,arch/x86/include/asm/interrupt.h
include/asm-i386/io.h,arch/i386/include/asm/io.h,arch/x86/include/asm/io.h
include/asm-i386/pci.h,arch/i386/include/asm/pci.h,arch/x86/include/asm/pci.h
include/asm-i386/posix_types.h,arch/i386/include/asm/posix_types.h,arch/x86/include/asm/posix_types.h
include/asm-i386/processor.h,arch/i386/include/asm/processor.h,arch/x86/include/asm/processor.h
include/asm-i386/ptrace.h,arch/i386/include/asm/ptrace.h,arch/x86/include/asm/ptrace.h
include/asm-i386/realmode.h,arch/i386/include/asm/realmode.h,arch/x86/include/asm/realmode.h
include/asm-i386/string.h,arch/i386/include/asm/string.h,arch/x86/include/asm/string.h
include/asm-i386/types.h,arch/i386/include/asm/types.h,arch/x86/include/asm/types.h
include/asm-i386/u-boot.h,arch/i386/include/asm/u-boot.h,arch/x86/include/asm/u-boot.h
include/asm-i386/zimage.h,arch/i386/include/asm/zimage.h,arch/x86/include/asm/zimage.h
include/asm-m68k/bitops.h,arch/m68k/include/asm/bitops.h
include/asm-m68k/byteorder.h,arch/m68k/include/asm/byteorder.h
include/asm-m68k/cache.h,arch/m68k/include/asm/cache.h
include/asm-m68k/coldfire/ata.h,arch/m68k/include/asm/coldfire/ata.h
include/asm-m68k/coldfire/crossbar.h,arch/m68k/include/asm/coldfire/crossbar.h
include/asm-m68k/coldfire/dspi.h,arch/m68k/include/asm/coldfire/dspi.h
include/asm-m68k/coldfire/edma.h,arch/m68k/include/asm/coldfire/edma.h
include/asm-m68k/coldfire/eport.h,arch/m68k/include/asm/coldfire/eport.h
include/asm-m68k/coldfire/flexbus.h,arch/m68k/include/asm/coldfire/flexbus.h
include/asm-m68k/coldfire/flexcan.h,arch/m68k/include/asm/coldfire/flexcan.h
include/asm-m68k/coldfire/intctrl.h,arch/m68k/include/asm/coldfire/intctrl.h
include/asm-m68k/coldfire/lcd.h,arch/m68k/include/asm/coldfire/lcd.h
include/asm-m68k/coldfire/mdha.h,arch/m68k/include/asm/coldfire/mdha.h
include/asm-m68k/coldfire/pwm.h,arch/m68k/include/asm/coldfire/pwm.h
include/asm-m68k/coldfire/qspi.h,arch/m68k/include/asm/coldfire/qspi.h
include/asm-m68k/coldfire/rng.h,arch/m68k/include/asm/coldfire/rng.h
include/asm-m68k/coldfire/skha.h,arch/m68k/include/asm/coldfire/skha.h
include/asm-m68k/coldfire/ssi.h,arch/m68k/include/asm/coldfire/ssi.h
include/asm-m68k/config.h,arch/m68k/include/asm/config.h
include/asm-m68k/errno.h,arch/m68k/include/asm/errno.h
include/asm-m68k/fec.h,arch/m68k/include/asm/fec.h
include/asm-m68k/fsl_i2c.h,arch/m68k/include/asm/fsl_i2c.h
include/asm-m68k/fsl_mcdmafec.h,arch/m68k/include/asm/fsl_mcdmafec.h
include/asm-m68k/global_data.h,arch/m68k/include/asm/global_data.h
include/asm-m68k/immap.h,arch/m68k/include/asm/immap.h
include/asm-m68k/immap_520x.h,arch/m68k/include/asm/immap_520x.h
include/asm-m68k/immap_5227x.h,arch/m68k/include/asm/immap_5227x.h
include/asm-m68k/immap_5235.h,arch/m68k/include/asm/immap_5235.h
include/asm-m68k/immap_5249.h,arch/m68k/include/asm/immap_5249.h
include/asm-m68k/immap_5253.h,arch/m68k/include/asm/immap_5253.h
include/asm-m68k/immap_5271.h,arch/m68k/include/asm/immap_5271.h
include/asm-m68k/immap_5272.h,arch/m68k/include/asm/immap_5272.h
include/asm-m68k/immap_5275.h,arch/m68k/include/asm/immap_5275.h
include/asm-m68k/immap_5282.h,arch/m68k/include/asm/immap_5282.h
include/asm-m68k/immap_5301x.h,arch/m68k/include/asm/immap_5301x.h
include/asm-m68k/immap_5329.h,arch/m68k/include/asm/immap_5329.h
include/asm-m68k/immap_5445x.h,arch/m68k/include/asm/immap_5445x.h
include/asm-m68k/immap_547x_8x.h,arch/m68k/include/asm/immap_547x_8x.h
include/asm-m68k/io.h,arch/m68k/include/asm/io.h
include/asm-m68k/m520x.h,arch/m68k/include/asm/m520x.h
include/asm-m68k/m5227x.h,arch/m68k/include/asm/m5227x.h
include/asm-m68k/m5235.h,arch/m68k/include/asm/m5235.h
include/asm-m68k/m5249.h,arch/m68k/include/asm/m5249.h
include/asm-m68k/m5253.h,arch/m68k/include/asm/m5253.h
include/asm-m68k/m5271.h,arch/m68k/include/asm/m5271.h
include/asm-m68k/m5272.h,arch/m68k/include/asm/m5272.h
include/asm-m68k/m5275.h,arch/m68k/include/asm/m5275.h
include/asm-m68k/m5282.h,arch/m68k/include/asm/m5282.h
include/asm-m68k/m5301x.h,arch/m68k/include/asm/m5301x.h
include/asm-m68k/m5329.h,arch/m68k/include/asm/m5329.h
include/asm-m68k/m5445x.h,arch/m68k/include/asm/m5445x.h
include/asm-m68k/m547x_8x.h,arch/m68k/include/asm/m547x_8x.h
include/asm-m68k/posix_types.h,arch/m68k/include/asm/posix_types.h
include/asm-m68k/processor.h,arch/m68k/include/asm/processor.h
include/asm-m68k/ptrace.h,arch/m68k/include/asm/ptrace.h
include/asm-m68k/string.h,arch/m68k/include/asm/string.h
include/asm-m68k/timer.h,arch/m68k/include/asm/timer.h
include/asm-m68k/types.h,arch/m68k/include/asm/types.h
include/asm-m68k/u-boot.h,arch/m68k/include/asm/u-boot.h
include/asm-m68k/uart.h,arch/m68k/include/asm/uart.h
include/asm-m68k/unaligned.h,arch/m68k/include/asm/unaligned.h
include/asm-microblaze/asm.h,arch/microblaze/include/asm/asm.h
include/asm-microblaze/bitops.h,arch/microblaze/include/asm/bitops.h
include/asm-microblaze/byteorder.h,arch/microblaze/include/asm/byteorder.h
include/asm-microblaze/config.h,arch/microblaze/include/asm/config.h
include/asm-microblaze/errno.h,arch/microblaze/include/asm/errno.h
include/asm-microblaze/global_data.h,arch/microblaze/include/asm/global_data.h
include/asm-microblaze/io.h,arch/microblaze/include/asm/io.h
include/asm-microblaze/microblaze_intc.h,arch/microblaze/include/asm/microblaze_intc.h
include/asm-microblaze/microblaze_timer.h,arch/microblaze/include/asm/microblaze_timer.h
include/asm-microblaze/posix_types.h,arch/microblaze/include/asm/posix_types.h
include/asm-microblaze/processor.h,arch/microblaze/include/asm/processor.h
include/asm-microblaze/ptrace.h,arch/microblaze/include/asm/ptrace.h
include/asm-microblaze/string.h,arch/microblaze/include/asm/string.h
include/asm-microblaze/system.h,arch/microblaze/include/asm/system.h
include/asm-microblaze/types.h,arch/microblaze/include/asm/types.h
include/asm-microblaze/u-boot.h,arch/microblaze/include/asm/u-boot.h
include/asm-microblaze/unaligned.h,arch/microblaze/include/asm/unaligned.h
include/asm-mips/addrspace.h,arch/mips/include/asm/addrspace.h
include/asm-mips/asm.h,arch/mips/include/asm/asm.h
include/asm-mips/au1x00.h,arch/mips/include/asm/au1x00.h,arch/mips/mach-au1x00/include/mach/au1x00.h
include/asm-mips/bitops.h,arch/mips/include/asm/bitops.h
include/asm-mips/byteorder.h,arch/mips/include/asm/byteorder.h
include/asm-mips/cachectl.h,arch/mips/include/asm/cachectl.h
include/asm-mips/cacheops.h,arch/mips/include/asm/cacheops.h
include/asm-mips/config.h,arch/mips/include/asm/config.h
include/asm-mips/errno.h,arch/mips/include/asm/errno.h
include/asm-mips/global_data.h,arch/mips/include/asm/global_data.h
include/asm-mips/inca-ip.h,arch/mips/include/asm/inca-ip.h
include/asm-mips/io.h,arch/mips/include/asm/io.h
include/asm-mips/isadep.h,arch/mips/include/asm/isadep.h
include/asm-mips/mipsregs.h,arch/mips/include/asm/mipsregs.h
include/asm-mips/posix_types.h,arch/mips/include/asm/posix_types.h
include/asm-mips/processor.h,arch/mips/include/asm/processor.h
include/asm-mips/ptrace.h,arch/mips/include/asm/ptrace.h
include/asm-mips/reboot.h,arch/mips/include/asm/reboot.h
include/asm-mips/reg.h,arch/mips/include/asm/reg.h
include/asm-mips/regdef.h,arch/mips/include/asm/regdef.h
include/asm-mips/sgidefs.h,arch/mips/include/asm/sgidefs.h
include/asm-mips/string.h,arch/mips/include/asm/string.h
include/asm-mips/system.h,arch/mips/include/asm/system.h
include/asm-mips/types.h,arch/mips/include/asm/types.h
include/asm-mips/u-boot.h,arch/mips/include/asm/u-boot.h
include/asm-mips/unaligned.h,arch/mips/include/asm/unaligned.h
include/asm-nios/bitops.h,arch/nios/include/asm/bitops.h
include/asm-nios/byteorder.h,arch/nios/include/asm/byteorder.h
include/asm-nios/cache.h,arch/nios/include/asm/cache.h
include/asm-nios/config.h,arch/nios/include/asm/config.h
include/asm-nios/global_data.h,arch/nios/include/asm/global_data.h
include/asm-nios/io.h,arch/nios/include/asm/io.h
include/asm-nios/posix_types.h,arch/nios/include/asm/posix_types.h
include/asm-nios/processor.h,arch/nios/include/asm/processor.h
include/asm-nios/psr.h,arch/nios/include/asm/psr.h
include/asm-nios/ptrace.h,arch/nios/include/asm/ptrace.h
include/asm-nios/status_led.h,arch/nios/include/asm/status_led.h
include/asm-nios/string.h,arch/nios/include/asm/string.h
include/asm-nios/system.h,arch/nios/include/asm/system.h
include/asm-nios/types.h,arch/nios/include/asm/types.h
include/asm-nios/u-boot.h,arch/nios/include/asm/u-boot.h
include/asm-nios2/bitops.h,arch/nios2/include/asm/bitops.h
include/asm-nios2/bitops/atomic.h,arch/nios2/include/asm/bitops/atomic.h
include/asm-nios2/bitops/ffs.h,arch/nios2/include/asm/bitops/ffs.h
include/asm-nios2/bitops/non-atomic.h,arch/nios2/include/asm/bitops/non-atomic.h
include/asm-nios2/byteorder.h,arch/nios2/include/asm/byteorder.h
include/asm-nios2/cache.h,arch/nios2/include/asm/cache.h
include/asm-nios2/config.h,arch/nios2/include/asm/config.h
include/asm-nios2/errno.h,arch/nios2/include/asm/errno.h
include/asm-nios2/global_data.h,arch/nios2/include/asm/global_data.h
include/asm-nios2/io.h,arch/nios2/include/asm/io.h
include/asm-nios2/opcodes.h,arch/nios2/include/asm/opcodes.h
include/asm-nios2/posix_types.h,arch/nios2/include/asm/posix_types.h
include/asm-nios2/processor.h,arch/nios2/include/asm/processor.h
include/asm-nios2/psr.h,arch/nios2/include/asm/psr.h
include/asm-nios2/ptrace.h,arch/nios2/include/asm/ptrace.h
include/asm-nios2/status_led.h,arch/nios2/include/asm/status_led.h
include/asm-nios2/string.h,arch/nios2/include/asm/string.h
include/asm-nios2/system.h,arch/nios2/include/asm/system.h
include/asm-nios2/types.h,arch/nios2/include/asm/types.h
include/asm-nios2/u-boot.h,arch/nios2/include/asm/u-boot.h
include/asm-nios2/unaligned.h,arch/nios2/include/asm/unaligned.h
include/asm-ppc/5xx_immap.h,arch/ppc/include/asm/5xx_immap.h,arch/powerpc/include/asm/5xx_immap.h
include/asm-ppc/8xx_immap.h,arch/ppc/include/asm/8xx_immap.h,arch/powerpc/include/asm/8xx_immap.h,arch/powerpc/include/asm/immap_8xx.h
include/asm-ppc/atomic.h,arch/ppc/include/asm/atomic.h,arch/powerpc/include/asm/atomic.h
include/asm-ppc/bitops.h,arch/ppc/include/asm/bitops.h,arch/powerpc/include/asm/bitops.h
include/asm-ppc/byteorder.h,arch/ppc/include/asm/byteorder.h,arch/powerpc/include/asm/byteorder.h
include/asm-ppc/cache.h,arch/ppc/include/asm/cache.h,arch/powerpc/include/asm/cache.h
include/asm-ppc/config.h,arch/ppc/include/asm/config.h,arch/powerpc/include/asm/config.h
include/asm-ppc/cpm_8260.h,arch/ppc/include/asm/cpm_8260.h,arch/powerpc/include/asm/cpm_8260.h
include/asm-ppc/cpm_85xx.h,arch/ppc/include/asm/cpm_85xx.h,arch/powerpc/include/asm/cpm_85xx.h
include/asm-ppc/e300.h,arch/ppc/include/asm/e300.h,arch/powerpc/include/asm/e300.h
include/asm-ppc/errno.h,arch/ppc/include/asm/errno.h,arch/powerpc/include/asm/errno.h
include/asm-ppc/fsl_ddr_sdram.h,arch/ppc/include/asm/fsl_ddr_sdram.h,arch/powerpc/include/asm/fsl_ddr_sdram.h,include/fsl_ddr_sdram.h
include/asm-ppc/fsl_dma.h,arch/ppc/include/asm/fsl_dma.h,arch/powerpc/include/asm/fsl_dma.h
include/asm-ppc/fsl_i2c.h,arch/ppc/include/asm/fsl_i2c.h,arch/powerpc/include/asm/fsl_i2c.h
include/asm-ppc/fsl_law.h,arch/ppc/include/asm/fsl_law.h,arch/powerpc/include/asm/fsl_law.h
include/asm-ppc/fsl_lbc.h,arch/ppc/include/asm/fsl_lbc.h,arch/powerpc/include/asm/fsl_lbc.h
include/asm-ppc/fsl_serdes.h,arch/ppc/include/asm/fsl_serdes.h,arch/powerpc/include/asm/fsl_serdes.h
include/asm-ppc/global_data.h,arch/ppc/include/asm/global_data.h,arch/powerpc/include/asm/global_data.h
include/asm-ppc/gpio.h,arch/ppc/include/asm/gpio.h,arch/powerpc/include/asm/gpio.h,arch/powerpc/include/asm/ppc4xx-gpio.h
include/asm-ppc/immap_512x.h,arch/ppc/include/asm/immap_512x.h,arch/powerpc/include/asm/immap_512x.h
include/asm-ppc/immap_8220.h,arch/ppc/include/asm/immap_8220.h,arch/powerpc/include/asm/immap_8220.h
include/asm-ppc/immap_8260.h,arch/ppc/include/asm/immap_8260.h,arch/powerpc/include/asm/immap_8260.h
include/asm-ppc/immap_83xx.h,arch/ppc/include/asm/immap_83xx.h,arch/powerpc/include/asm/immap_83xx.h
include/asm-ppc/immap_85xx.h,arch/ppc/include/asm/immap_85xx.h,arch/powerpc/include/asm/immap_85xx.h
include/asm-ppc/immap_86xx.h,arch/ppc/include/asm/immap_86xx.h,arch/powerpc/include/asm/immap_86xx.h
include/asm-ppc/immap_qe.h,arch/ppc/include/asm/immap_qe.h,arch/powerpc/include/asm/immap_qe.h,include/linux/immap_qe.h
include/asm-ppc/interrupt.h,arch/ppc/include/asm/interrupt.h,arch/powerpc/include/asm/interrupt.h
include/asm-ppc/io.h,arch/ppc/include/asm/io.h,arch/powerpc/include/asm/io.h
include/asm-ppc/iopin_8260.h,arch/ppc/include/asm/iopin_8260.h,arch/powerpc/include/asm/iopin_8260.h
include/asm-ppc/iopin_85xx.h,arch/ppc/include/asm/iopin_85xx.h,arch/powerpc/include/asm/iopin_85xx.h
include/asm-ppc/iopin_8xx.h,arch/ppc/include/asm/iopin_8xx.h,arch/powerpc/include/asm/iopin_8xx.h
include/asm-ppc/m8260_pci.h,arch/ppc/include/asm/m8260_pci.h,arch/powerpc/include/asm/m8260_pci.h
include/asm-ppc/mc146818rtc.h,arch/ppc/include/asm/mc146818rtc.h,arch/powerpc/include/asm/mc146818rtc.h
include/asm-ppc/mmu.h,arch/ppc/include/asm/mmu.h,arch/powerpc/include/asm/mmu.h
include/asm-ppc/mp.h,arch/ppc/include/asm/mp.h,arch/powerpc/include/asm/mp.h
include/asm-ppc/mpc512x.h,arch/ppc/include/asm/mpc512x.h,arch/powerpc/include/asm/mpc512x.h
include/asm-ppc/mpc8349_pci.h,arch/ppc/include/asm/mpc8349_pci.h,arch/powerpc/include/asm/mpc8349_pci.h
include/asm-ppc/mpc8xxx_spi.h,arch/ppc/include/asm/mpc8xxx_spi.h,arch/powerpc/include/asm/mpc8xxx_spi.h
include/asm-ppc/pci_io.h,arch/ppc/include/asm/pci_io.h,arch/powerpc/include/asm/pci_io.h
include/asm-ppc/pnp.h,arch/ppc/include/asm/pnp.h,arch/powerpc/include/asm/pnp.h
include/asm-ppc/posix_types.h,arch/ppc/include/asm/posix_types.h,arch/powerpc/include/asm/posix_types.h
include/asm-ppc/ppc4xx-ebc.h,arch/ppc/include/asm/ppc4xx-ebc.h,arch/powerpc/include/asm/ppc4xx-ebc.h
include/asm-ppc/ppc4xx-isram.h,arch/ppc/include/asm/ppc4xx-isram.h,arch/powerpc/include/asm/ppc4xx-isram.h
include/asm-ppc/ppc4xx-sdram.h,arch/ppc/include/asm/ppc4xx-sdram.h,arch/powerpc/include/asm/ppc4xx-sdram.h
include/asm-ppc/ppc4xx_config.h,arch/ppc/include/asm/ppc4xx_config.h,arch/powerpc/include/asm/ppc4xx_config.h
include/asm-ppc/processor.h,arch/ppc/include/asm/processor.h,arch/powerpc/include/asm/processor.h
include/asm-ppc/ptrace.h,arch/ppc/include/asm/ptrace.h,arch/powerpc/include/asm/ptrace.h
include/asm-ppc/residual.h,arch/ppc/include/asm/residual.h,arch/powerpc/include/asm/residual.h
include/asm-ppc/sigcontext.h,arch/ppc/include/asm/sigcontext.h,arch/powerpc/include/asm/sigcontext.h
include/asm-ppc/signal.h,arch/ppc/include/asm/signal.h,arch/powerpc/include/asm/signal.h
include/asm-ppc/status_led.h,arch/ppc/include/asm/status_led.h,arch/powerpc/include/asm/status_led.h
include/asm-ppc/string.h,arch/ppc/include/asm/string.h,arch/powerpc/include/asm/string.h
include/asm-ppc/types.h,arch/ppc/include/asm/types.h,arch/powerpc/include/asm/types.h
include/asm-ppc/u-boot.h,arch/ppc/include/asm/u-boot.h,arch/powerpc/include/asm/u-boot.h
include/asm-ppc/unaligned.h,arch/ppc/include/asm/unaligned.h,arch/powerpc/include/asm/unaligned.h
include/asm-ppc/xilinx_irq.h,arch/ppc/include/asm/xilinx_irq.h,arch/powerpc/include/asm/xilinx_irq.h
include/asm-sh/bitops.h,arch/sh/include/asm/bitops.h
include/asm-sh/byteorder.h,arch/sh/include/asm/byteorder.h
include/asm-sh/cache.h,arch/sh/include/asm/cache.h
include/asm-sh/clk.h,arch/sh/include/asm/clk.h
include/asm-sh/config.h,arch/sh/include/asm/config.h
include/asm-sh/cpu_sh2.h,arch/sh/include/asm/cpu_sh2.h
include/asm-sh/cpu_sh3.h,arch/sh/include/asm/cpu_sh3.h
include/asm-sh/cpu_sh4.h,arch/sh/include/asm/cpu_sh4.h
include/asm-sh/cpu_sh7203.h,arch/sh/include/asm/cpu_sh7203.h
include/asm-sh/cpu_sh7710.h,arch/sh/include/asm/cpu_sh7710.h
include/asm-sh/cpu_sh7720.h,arch/sh/include/asm/cpu_sh7720.h
include/asm-sh/cpu_sh7722.h,arch/sh/include/asm/cpu_sh7722.h
include/asm-sh/cpu_sh7723.h,arch/sh/include/asm/cpu_sh7723.h
include/asm-sh/cpu_sh7750.h,arch/sh/include/asm/cpu_sh7750.h
include/asm-sh/cpu_sh7763.h,arch/sh/include/asm/cpu_sh7763.h
include/asm-sh/cpu_sh7780.h,arch/sh/include/asm/cpu_sh7780.h
include/asm-sh/cpu_sh7785.h,arch/sh/include/asm/cpu_sh7785.h
include/asm-sh/errno.h,arch/sh/include/asm/errno.h
include/asm-sh/global_data.h,arch/sh/include/asm/global_data.h
include/asm-sh/io.h,arch/sh/include/asm/io.h
include/asm-sh/irqflags.h,arch/sh/include/asm/irqflags.h
include/asm-sh/macro.h,arch/sh/include/asm/macro.h
include/asm-sh/pci.h,arch/sh/include/asm/pci.h
include/asm-sh/posix_types.h,arch/sh/include/asm/posix_types.h
include/asm-sh/processor.h,arch/sh/include/asm/processor.h
include/asm-sh/ptrace.h,arch/sh/include/asm/ptrace.h
include/asm-sh/string.h,arch/sh/include/asm/string.h
include/asm-sh/system.h,arch/sh/include/asm/system.h
include/asm-sh/types.h,arch/sh/include/asm/types.h
include/asm-sh/u-boot.h,arch/sh/include/asm/u-boot.h
include/asm-sh/unaligned-sh4a.h,arch/sh/include/asm/unaligned-sh4a.h
include/asm-sh/unaligned.h,arch/sh/include/asm/unaligned.h
include/asm-sparc/arch-leon2/asi.h,arch/sparc/include/asm/arch-leon2/asi.h
include/asm-sparc/arch-leon3/asi.h,arch/sparc/include/asm/arch-leon3/asi.h
include/asm-sparc/asi.h,arch/sparc/include/asm/asi.h
include/asm-sparc/asmmacro.h,arch/sparc/include/asm/asmmacro.h
include/asm-sparc/atomic.h,arch/sparc/include/asm/atomic.h
include/asm-sparc/bitops.h,arch/sparc/include/asm/bitops.h
include/asm-sparc/byteorder.h,arch/sparc/include/asm/byteorder.h
include/asm-sparc/cache.h,arch/sparc/include/asm/cache.h
include/asm-sparc/config.h,arch/sparc/include/asm/config.h
include/asm-sparc/errno.h,arch/sparc/include/asm/errno.h
include/asm-sparc/global_data.h,arch/sparc/include/asm/global_data.h
include/asm-sparc/io.h,arch/sparc/include/asm/io.h
include/asm-sparc/irq.h,arch/sparc/include/asm/irq.h
include/asm-sparc/leon.h,arch/sparc/include/asm/leon.h
include/asm-sparc/leon2.h,arch/sparc/include/asm/leon2.h
include/asm-sparc/leon3.h,arch/sparc/include/asm/leon3.h
include/asm-sparc/machines.h,arch/sparc/include/asm/machines.h
include/asm-sparc/page.h,arch/sparc/include/asm/page.h
include/asm-sparc/posix_types.h,arch/sparc/include/asm/posix_types.h
include/asm-sparc/processor.h,arch/sparc/include/asm/processor.h
include/asm-sparc/prom.h,arch/sparc/include/asm/prom.h
include/asm-sparc/psr.h,arch/sparc/include/asm/psr.h
include/asm-sparc/ptrace.h,arch/sparc/include/asm/ptrace.h
include/asm-sparc/srmmu.h,arch/sparc/include/asm/srmmu.h
include/asm-sparc/stack.h,arch/sparc/include/asm/stack.h
include/asm-sparc/string.h,arch/sparc/include/asm/string.h
include/asm-sparc/types.h,arch/sparc/include/asm/types.h
include/asm-sparc/u-boot.h,arch/sparc/include/asm/u-boot.h
include/asm-sparc/winmacro.h,arch/sparc/include/asm/winmacro.h
cpu/74xx_7xx/Makefile,arch/ppc/cpu/74xx_7xx/Makefile,arch/powerpc/cpu/74xx_7xx/Makefile
cpu/74xx_7xx/cache.S,arch/ppc/cpu/74xx_7xx/cache.S,arch/powerpc/cpu/74xx_7xx/cache.S
cpu/74xx_7xx/config.mk,arch/ppc/cpu/74xx_7xx/config.mk,arch/powerpc/cpu/74xx_7xx/config.mk
cpu/74xx_7xx/cpu.c,arch/ppc/cpu/74xx_7xx/cpu.c,arch/powerpc/cpu/74xx_7xx/cpu.c
cpu/74xx_7xx/cpu_init.c,arch/ppc/cpu/74xx_7xx/cpu_init.c,arch/powerpc/cpu/74xx_7xx/cpu_init.c
cpu/74xx_7xx/interrupts.c,arch/ppc/cpu/74xx_7xx/interrupts.c,arch/powerpc/cpu/74xx_7xx/interrupts.c
cpu/74xx_7xx/io.S,arch/ppc/cpu/74xx_7xx/io.S,arch/powerpc/cpu/74xx_7xx/io.S
cpu/74xx_7xx/kgdb.S,arch/ppc/cpu/74xx_7xx/kgdb.S,arch/powerpc/cpu/74xx_7xx/kgdb.S
cpu/74xx_7xx/speed.c,arch/ppc/cpu/74xx_7xx/speed.c,arch/powerpc/cpu/74xx_7xx/speed.c
cpu/74xx_7xx/start.S,arch/ppc/cpu/74xx_7xx/start.S,arch/powerpc/cpu/74xx_7xx/start.S
cpu/74xx_7xx/traps.c,arch/ppc/cpu/74xx_7xx/traps.c,arch/powerpc/cpu/74xx_7xx/traps.c
cpu/mpc512x/Makefile,arch/ppc/cpu/mpc512x/Makefile,arch/powerpc/cpu/mpc512x/Makefile
cpu/mpc512x/asm-offsets.h,arch/ppc/cpu/mpc512x/asm-offsets.h,arch/powerpc/cpu/mpc512x/asm-offsets.h
cpu/mpc512x/config.mk,arch/ppc/cpu/mpc512x/config.mk,arch/powerpc/cpu/mpc512x/config.mk
cpu/mpc512x/cpu.c,arch/ppc/cpu/mpc512x/cpu.c,arch/powerpc/cpu/mpc512x/cpu.c
cpu/mpc512x/cpu_init.c,arch/ppc/cpu/mpc512x/cpu_init.c,arch/powerpc/cpu/mpc512x/cpu_init.c
cpu/mpc512x/fixed_sdram.c,arch/ppc/cpu/mpc512x/fixed_sdram.c,arch/powerpc/cpu/mpc512x/fixed_sdram.c
